date,kg,fatp,fat
20160929,73.60,23.60%,17.37
20161001,72.60,26.20%,19.02
20161004,73.30,24.90%,18.25
20161005,73.00,24.80%,18.10
20161006,72.50,25.30%,18.34
20161007,72.40,25.40%,18.39
20161009,71.20,25.30%,18.01
20161010,71.60,25.60%,18.33
20161011,72.00,24.50%,17.64
20161012,72.10,24.30%,17.52
20161013,72.00,24.00%,17.28
20161014,71.50,24.10%,17.23
20161015,71.10,24.70%,17.56
