date,close
20150106,25.3
20150112,27.4
20150113,25.8
20150114,26.9
20150115,26.1
20150116,25.7
20150126,25.5
20150128,25.6
20150129,25.8
20150130,25.6
20150204,26.1
20150210,25.3
20150210,25.3
20150217,25.1
20150224,23.7
20150302,25.3
20150305,25.3
20150315,25
20150319,25.1
20150327,25
20150330,24.9
20150401,23.6
20150531,25.4
20150601,24.4
20150623,24
20150624,24.2
20150629,24.3
20150714,23.9
20150722,25.2
20150801,25.4
20150810,25.6
20150817,24.8
20150818,26
20150926,25.2
20151005,27.7
20151013,27.4
20151104,25
20151114,25.8
20151125,26.5
20151126,25.7
20151128,27
20151130,26.7
20151201,26.2
20151201,27.3
20151202,26.7
20151203,25.1
20151204,25.8
20151205,26.6
20151206,26
20151206,25.9
20151206,26.6
20151206,26.7
20151206,26.4
20151206,26.1
20151207,26.1
20151208,26.2
20151209,26.1
20151210,25.4
